customer_id,week_start,logins,reports_run,features_used,support_tickets
C001,2024-02-05,24,5,6,0
C001,2024-07-29,21,4,8,0
C001,2024-01-29,17,5,8,2
C001,2024-01-15,17,2,2,1
C001,2024-01-01,21,6,8,0
C001,2024-01-08,16,7,7,2
C001,2023-07-24,26,6,4,1
C001,2023-04-17,21,8,3,0
C001,2024-03-18,23,4,2,0
C001,2024-03-25,14,5,5,0
C001,2024-12-16,17,7,2,0
C001,2023-04-24,23,4,1,1
C001,2024-03-11,30,5,4,0
C001,2023-02-13,20,3,1,0
C001,2024-07-22,23,2,3,0
C001,2024-05-06,21,4,8,1
C001,2024-02-12,24,7,7,1
C001,2023-01-16,20,3,7,1
C001,2023-08-07,11,8,7,0
C001,2024-11-25,17,6,2,0
C001,2024-12-09,26,11,7,0
C001,2023-06-12,23,7,1,0
C001,2023-08-28,24,8,6,1
C001,2024-08-12,16,4,7,3
C001,2024-08-05,19,4,9,0
C001,2024-09-30,21,8,2,0
C001,2024-09-23,18,3,5,1
C001,2023-12-18,26,9,9,0
C001,2023-05-08,13,5,5,1
C001,2023-08-21,20,8,7,0
C001,2023-12-11,32,5,1,1
C001,2024-02-26,20,7,1,0
C001,2024-05-13,20,6,7,1
C001,2023-09-25,25,4,5,3
C001,2024-06-24,19,7,8,0
C001,2023-05-22,16,3,5,2
C001,2024-10-07,19,5,6,0
C001,2023-01-02,17,2,2,1
C001,2024-04-29,22,6,6,1
C001,2024-05-20,21,3,1,1
C001,2023-05-29,16,4,6,0
C001,2023-10-09,22,10,3,0
C001,2024-02-19,15,9,3,0
C001,2023-04-03,18,3,6,0
C001,2024-08-26,17,7,1,0
C001,2023-02-27,21,8,2,1
C001,2024-10-28,14,5,9,0
C001,2023-07-10,26,6,5,0
C001,2023-12-04,21,5,9,0
C001,2023-10-16,16,3,5,0
C001,2024-09-09,20,5,2,0
C001,2023-09-11,16,3,1,0
C001,2024-10-14,9,2,2,0
C001,2023-01-23,16,3,4,1
C001,2023-11-27,13,10,8,2
C001,2024-07-01,22,7,9,0
C001,2023-10-30,22,8,5,0
C001,2024-04-08,18,5,3,0
C001,2024-06-17,22,7,5,0
C001,2023-10-02,20,7,9,1
C001,2024-06-03,15,5,3,0
C001,2023-08-14,13,7,8,1
C002,2024-06-10,23,3,9,0
C002,2023-10-02,19,1,8,2
C002,2024-02-05,19,8,6,0
C002,2024-02-26,11,4,1,0
C002,2023-09-18,19,8,2,1
C002,2023-06-05,20,4,2,0
C002,2023-12-25,31,6,4,0
C002,2024-07-01,19,2,9,0
C002,2024-11-18,14,4,2,1
C002,2024-03-11,19,5,9,1
C002,2024-12-09,15,4,4,1
C002,2023-04-17,23,5,6,1
C002,2023-07-31,14,7,5,2
C002,2023-05-15,13,4,4,0
C002,2023-11-13,22,5,8,0
C002,2024-03-04,23,4,7,1
C002,2023-07-17,22,2,1,0
C002,2023-03-20,10,4,4,1
C002,2023-01-30,17,4,6,1
C002,2024-04-08,33,4,4,1
C002,2024-03-18,20,9,1,1
C002,2023-12-18,18,5,1,1
C002,2023-08-21,16,9,2,0
C002,2024-12-30,22,6,3,0
C002,2023-07-24,21,5,1,2
C002,2023-02-06,22,10,9,1
C002,2023-07-03,18,8,5,0
C002,2024-12-02,15,3,7,0
C002,2023-02-20,22,8,3,0
C002,2024-01-01,18,5,7,0
C002,2024-11-25,18,7,6,2
C002,2024-05-06,30,9,3,0
C002,2024-04-01,19,3,1,1
C002,2024-01-22,11,4,8,0
C002,2024-07-22,17,5,6,0
C002,2023-01-23,20,3,1,1
C002,2024-10-14,16,7,5,0
C002,2024-06-24,22,5,2,1
C002,2023-10-23,13,8,2,0
C002,2024-04-29,25,4,8,0
C002,2023-10-09,24,5,8,3
C002,2024-06-03,24,5,4,0
C002,2024-08-26,19,3,9,0
C002,2023-01-16,22,6,3,0
C002,2024-05-20,27,3,5,0
C002,2024-03-25,21,10,7,0
C002,2024-01-29,23,2,5,1
C002,2024-02-12,22,5,1,0
C002,2023-01-09,14,9,2,0
C002,2023-06-19,23,5,4,1
C002,2024-11-04,18,6,2,1
C002,2023-04-03,18,3,4,0
C002,2024-09-16,19,11,3,1
C002,2024-09-02,23,2,8,0
C002,2023-03-13,25,3,8,1
C002,2023-08-07,22,7,5,0
C002,2024-12-16,14,9,9,0
C002,2023-07-10,15,6,3,2
C002,2023-08-28,23,3,6,0
C002,2024-09-09,14,5,8,0
C002,2024-07-15,20,4,5,0
C002,2023-11-27,20,4,3,1
C002,2024-10-28,28,7,5,0
C002,2023-04-24,22,3,2,1
C002,2024-10-21,22,8,3,0
C003,2024-02-05,19,4,5,0
C003,2023-05-29,21,2,6,0
C003,2024-04-01,15,6,1,0
C003,2023-02-27,22,5,2,0
C003,2023-11-13,26,4,1,2
C003,2024-12-09,21,2,6,1
C003,2024-06-03,24,8,6,0
C003,2024-12-16,21,10,9,0
C003,2024-01-29,17,2,7,0
C003,2024-03-11,20,5,8,1
C003,2024-09-02,13,3,8,3
C003,2024-02-26,23,4,3,0
C003,2023-06-26,22,1,3,0
C003,2024-12-30,17,4,8,0
C003,2023-12-25,16,7,5,0
C003,2024-06-24,16,8,2,1
C003,2023-03-27,24,5,2,1
C003,2023-12-11,17,4,1,0
C003,2024-04-22,25,3,1,0
C003,2023-10-16,21,7,7,0
C003,2024-04-15,18,1,7,0
C003,2024-08-19,26,4,4,1
C003,2024-02-12,10,6,7,1
C003,2024-09-23,16,6,7,0
C003,2024-09-09,20,1,9,2
C003,2023-02-20,13,5,3,0
C003,2023-01-30,20,1,4,0
C003,2023-02-06,19,3,6,0
C003,2024-05-13,14,1,1,1
C003,2023-04-24,22,9,4,2
C003,2024-01-22,21,4,8,1
C003,2024-04-08,32,3,9,1
C003,2024-10-28,22,7,2,2
C003,2023-07-31,16,10,3,0
C003,2024-08-12,19,6,4,4
C003,2024-07-29,17,4,3,1
C003,2024-05-06,23,8,4,0
C003,2023-03-06,24,1,5,0
C003,2023-07-17,21,2,7,1
C004,2024-04-01,33,8,6,0
C004,2023-10-23,16,5,2,1
C004,2024-04-22,30,5,1,1
C004,2024-10-28,15,3,9,0
C004,2023-06-19,24,9,4,1
C004,2024-09-23,18,3,7,0
C004,2024-11-11,15,4,4,1
C004,2023-12-11,25,6,8,0
C004,2023-12-04,21,5,6,0
C004,2024-08-12,18,3,7,1
C004,2024-10-14,22,3,8,0
C004,2023-02-06,11,4,4,0
C004,2024-03-04,18,4,6,1
C004,2023-04-17,12,5,5,0
C004,2023-12-25,32,8,5,3
C004,2024-08-26,21,2,4,1
C004,2024-11-18,29,7,4,2
C004,2024-02-19,17,1,8,0
C004,2024-12-09,21,4,4,0
C004,2024-04-29,16,2,2,1
C004,2023-07-24,22,11,1,1
C004,2023-08-14,20,8,4,0
C004,2023-09-18,19,6,1,1
C004,2024-06-03,22,2,5,1
C004,2024-07-29,25,1,8,0
C004,2023-07-31,16,6,1,0
C004,2023-01-09,13,9,5,0
C004,2023-09-04,23,8,3,0
C004,2023-11-13,18,4,6,0
C004,2023-09-11,18,8,2,0
C004,2023-06-12,26,3,7,0
C004,2024-03-11,23,5,1,1
C004,2023-01-16,19,8,3,0
C004,2024-07-01,20,3,9,2
C004,2023-10-30,18,3,2,0
C004,2023-11-27,29,5,4,0
C004,2024-11-04,18,5,8,0
C004,2023-07-10,21,7,9,0
C004,2023-09-25,18,7,6,0
C004,2024-05-27,21,8,7,1
C004,2024-07-15,17,5,4,1
C004,2023-02-20,24,4,5,2
C004,2023-07-17,19,6,6,0
C004,2023-04-10,23,4,1,3
C004,2024-06-10,17,3,7,1
C004,2023-10-16,21,8,3,1
C004,2023-06-05,18,10,6,0
C004,2023-01-23,29,5,7,0
C004,2023-04-03,15,4,1,1
C004,2024-03-18,31,4,4,0
C004,2024-05-13,23,3,1,1
C004,2023-10-02,26,5,9,1
C004,2024-02-26,27,5,7,0
C004,2024-01-29,17,4,8,0
C004,2024-01-15,15,8,7,0
C004,2023-11-20,18,6,6,0
C004,2023-02-13,17,4,3,0
C004,2024-09-16,19,4,8,1
C004,2023-05-08,9,3,5,0
C004,2024-09-30,23,7,8,0
C004,2024-06-17,30,6,6,0
C004,2023-03-20,25,9,3,1
C004,2024-09-02,23,3,5,1
C004,2023-05-22,17,7,8,1
C004,2023-12-18,17,5,2,1
C004,2024-01-22,18,5,9,0
C005,2024-04-01,24,1,5,0
C005,2023-01-30,18,3,2,0
C005,2024-06-10,18,5,4,1
C005,2024-05-06,21,2,7,2
C005,2023-08-21,21,3,7,0
C005,2024-12-16,24,2,6,0
C005,2024-08-05,23,3,8,0
C005,2024-02-12,33,2,1,0
C005,2023-04-03,16,6,8,0
C005,2023-01-16,15,4,6,1
C005,2023-11-20,17,2,7,0
C005,2023-11-06,19,6,3,1
C005,2023-02-13,23,4,1,2
C005,2023-11-13,23,4,4,0
C005,2023-05-15,21,11,5,1
C005,2024-07-01,19,1,8,1
C005,2023-06-19,18,6,3,1
C005,2024-09-09,23,5,6,1
C005,2024-09-23,21,5,4,0
C005,2024-07-29,19,4,7,1
C005,2024-02-05,15,4,1,0
C005,2024-10-14,19,3,6,1
C005,2023-07-31,16,2,8,1
C005,2024-12-02,21,7,6,0
C005,2024-02-26,26,3,5,1
C005,2023-07-17,23,4,9,0
C005,2024-07-15,18,2,3,1
C005,2024-11-25,22,5,9,0
C005,2024-08-12,21,3,4,0
C005,2023-04-17,22,6,1,0
C005,2023-05-01,22,3,7,0
C005,2023-03-06,25,7,8,0
C005,2024-12-30,32,4,6,0
C005,2023-11-27,17,5,5,1
C005,2024-04-08,14,4,9,0
C005,2024-04-22,17,5,2,0
C005,2023-10-09,26,3,2,0
C005,2024-11-11,15,10,5,1
C005,2024-05-27,21,5,1,2
C005,2023-03-27,13,3,3,0
C005,2023-09-04,16,6,6,2
C005,2023-06-26,18,4,6,2
C005,2023-05-29,25,5,3,1
C005,2023-01-23,14,5,9,0
C005,2024-04-15,19,4,7,0
C005,2024-02-19,20,1,7,0
C005,2024-08-19,22,3,6,1
C005,2024-12-23,24,12,9,0
C005,2023-09-18,14,4,3,2
C005,2024-01-15,18,5,4,0
C005,2024-04-29,19,3,9,0
C005,2024-10-07,21,3,1,1
C005,2023-07-10,16,2,8,1
C005,2023-09-25,12,4,4,1
C005,2023-05-08,17,6,7,1
C005,2024-05-20,19,4,1,0
C005,2023-01-09,24,2,1,0
C005,2024-03-11,18,1,2,0
C005,2023-05-22,27,2,4,0
C005,2024-09-30,17,3,7,0
C005,2023-06-12,19,5,5,0
C005,2024-06-17,24,3,3,0
C005,2023-12-18,16,3,8,0
C005,2023-08-28,15,1,8,0
C005,2023-12-04,21,3,6,2
C005,2024-10-28,19,9,6,2
C005,2024-03-18,18,1,9,0
C005,2023-09-11,18,3,9,0
C005,2023-12-11,31,4,6,1
C005,2023-02-06,21,9,8,0
C005,2024-01-22,15,7,3,0
C005,2023-06-05,19,6,7,4
C005,2023-10-02,18,5,9,0
C006,2023-01-09,22,4,9,1
C006,2023-07-03,16,6,2,2
C006,2023-01-30,24,4,4,0
C006,2024-02-19,14,5,6,0
C006,2023-03-20,22,1,8,2
C006,2024-04-08,24,5,3,0
C006,2024-01-08,17,9,1,1
C006,2024-04-29,16,2,3,1
C006,2024-04-15,22,8,3,0
C006,2024-05-20,20,4,4,0
C006,2023-08-07,17,9,4,0
C006,2024-12-09,19,4,3,1
C006,2023-09-25,27,3,2,0
C006,2023-02-20,26,4,9,0
C006,2024-07-15,19,6,2,2
C006,2023-01-23,17,1,3,0
C006,2023-04-10,16,1,4,0
C006,2024-07-08,17,7,1,1
C006,2024-06-10,16,2,2,0
C006,2024-12-16,23,5,4,1
C006,2023-05-29,16,5,3,0
C006,2023-03-06,30,3,3,0
C006,2024-11-04,24,10,9,0
C006,2023-03-13,27,6,6,0
C006,2024-01-22,20,7,4,1
C006,2024-06-03,21,6,6,1
C006,2023-07-24,16,9,3,1
C006,2023-06-26,22,3,7,1
C006,2024-08-26,23,9,2,0
